Player,Club,Club_Code,POS,Is_Forward,Is_Midfield,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG,PKA,HmG,RdG,G/90min,Scoring_Chance,Year,Unique
Geoff Cameron,HOU,HOU,D,No,No,33,33,2970,5,5,63,18,1,0,0,2,3,0.15,7.9,2011,Geoff Cameron_HOU_2011
Bobby Boswell,HOU,HOU,D,No,No,28,27,2460,5,1,22,10,2,0,0,3,2,0.18,22.7,2011,Bobby Boswell_HOU_2011
Jack Jewsbury,POR,POR,D-M,No,Yes,31,31,2790,7,8,47,20,1,3,3,4,3,0.23,14.9,2011,Jack Jewsbury_POR_2011
Bradley Wright-Phillips,NY,NYRB,F,Yes,No,27,24,2134,24,1,87,48,5,6,6,17,7,1.01,27.6,2014,Bradley Wright-Phillips_NYRB_2014
Dom Dwyer,KC,SKC,F,Yes,No,29,27,2369,20,1,100,44,6,6,6,11,9,0.76,20,2014,Dom Dwyer_SKC_2014
Robbie Keane,LA,LAG,F,Yes,No,26,25,2280,15,14,112,49,3,1,4,8,7,0.59,13.4,2014,Robbie Keane_LAG_2014
Gyasi Zardes,LA,LAG,F,Yes,No,27,21,1951,15,2,65,28,6,0,0,9,6,0.69,23.1,2014,Gyasi Zardes_LAG_2014
Erick Torres,CHV,CHV,F,Yes,No,25,25,2150,14,1,78,27,4,5,5,6,8,0.59,17.9,2014,Erick Torres_CHV_2014
Obafemi Martins,SEA,SEA,F,Yes,No,26,24,2151,13,9,61,29,2,1,1,5,8,0.54,21.3,2014,Obafemi Martins_SEA_2014
Joao Plata,RSL,RSL,F,Yes,No,22,21,1693,13,5,48,30,4,1,1,8,5,0.69,27.1,2014,Joao Plata_RSL_2014
Jermain Defoe,TOR,TFC,F,Yes,No,16,15,1319,11,2,47,23,5,3,3,8,3,0.75,23.4,2014,Jermain Defoe_TFC_2014
Blas Perez,DAL,FCD,F,Yes,No,26,21,1797,10,6,49,20,2,1,2,7,3,0.5,20.4,2014,Blas Perez_FCD_2014
Federico Higuain,CLB,CLB,F,Yes,No,26,25,2218,10,6,64,24,1,4,7,2,8,0.41,15.6,2014,Federico Higuain_CLB_2014
Will Bruin,HOU,HOU,F,Yes,No,24,24,2027,10,1,67,30,5,0,0,8,2,0.44,14.9,2014,Will Bruin_HOU_2014
