Rank,Player_Team_Year,Goal_Delta,Actual_non_PKG,Model_Estimated_non_PKG
1,Eddie Johnson_SEA_2012,4.74379,14,9.25621
2,Gyasi Zardes_LAG_2014,4.52969,15,10.47031
3,Chris Wondolowski_SJ_2012,4.09068,22,17.90932
4,Thierry Henry_NYRB_2012,3.83883,15,11.16117
5,Thierry Henry_NYRB_2011,3.61207,14,10.38793
6,Marco Di Vaio_MTL_2013,3.3415,20,16.6585
7,Tim Cahill_NYRB_2013,3.33605,11,7.66395
8,Edson Buddle_LAG_2010,3.19616,17,13.80384
9,Brek Shea_FCD_2011,3.11158,11,7.88842
10,Diego Fagundez_NE_2013,3.06169,13,9.93831
11,Alan Gordon_SJ_2012,3.03399,13,9.96601
12,Maximiliano Urruti_POR_2014,2.79586,9,6.20414
13,Landon Donovan_LAG_2013,2.50178,10,7.49822
14,Obafemi Martins_SEA_2014,2.4751,12,9.5249
15,Omar Cummings_COL_2010,2.22605,14,11.77395
16,Fabian Espindola_DC_2014,2.13704,9,6.86296
17,Obafemi Martins_SEA_2013,2.08612,8,5.91388
18,Steve Zakuani_SEA_2010,2.07829,10,7.92171
19,Robbie Keane_LAG_2012,2.04753,15,12.95247
20,Jack McInerney_PHI_2013,1.96104,12,10.03896
21,Jaime Castrillon_COL_2012,1.91512,8,6.08488
22,Chris Wondolowski_SJ_2010,1.90775,15,13.09225
23,Teal Bunbury_SKC_2011,1.82338,9,7.17662
24,Conor Casey_PHI_2013,1.81584,10,8.18416
25,Blas Perez_FCD_2014,1.79746,9,7.20254
26,Thierry Henry_NYRB_2014,1.79742,9,7.20258
27,Dominic Oduro_CLB_2013,1.77543,13,11.22457
28,Juan Agudelo_NE_2013,1.71381,9,7.28619
29,Chris Wondolowski_SJ_2014,1.70847,12,10.29153
30,Ethan Finlay_CLB_2014,1.63139,7,5.36861
31,Jack McInerney_MTL_2014,1.60742,8,6.39258
32,Luke Mulholland_RSL_2014,1.57988,6,4.42012
33,Diego Valeri_POR_2013,1.56179,9,7.43821
34,Chris Pontius_DC_2012,1.53558,11,9.46442
35,Blas Perez_FCD_2012,1.51969,9,7.48031
36,Blas Perez_FCD_2013,1.49041,11,9.50959
37,Rodney Wallace_POR_2013,1.48563,7,5.51437
38,Chris Rolfe_DC_2014,1.47417,6,4.52583
39,Quincy Amarikwa_CHI_2014,1.47408,8,6.52592
40,Alvaro Saborio_RSL_2010,1.47011,10,8.52989
41,Darlington Nagbe_POR_2013,1.46135,9,7.53865
42,David Beckham_LAG_2012,1.45407,7,5.54593
43,Jairo Arrieta_CLB_2012,1.39541,9,7.60459
44,Thierry Henry_NYRB_2013,1.37982,10,8.62018
45,Bradley Wright-Phillips_NYRB_2014,1.35354,18,16.64646
46,Ryan Johnson_POR_2013,1.32881,9,7.67119
47,Fanendo Adi_POR_2014,1.31656,8,6.68344
48,Jack McInerney_PHI_2012,1.31317,8,6.68683
49,Ned Grabavoy_RSL_2013,1.30912,5,3.69088
50,Will Bruin_HOU_2012,1.28261,12,10.71739
51,Jonathan Osorio_TFC_2013,1.27397,5,3.72603
52,Brian Ching_HOU_2010,1.27209,7,5.72791
53,C.J. Sapong_SKC_2012,1.26054,9,7.73946
54,Harry Shipp_CHI_2014,1.26052,6,4.73948
55,Jorge Perlaza_POR_2011,1.24604,6,4.75396
56,Joao Plata_RSL_2014,1.22675,12,10.77325
57,Chad Barrett_LAG_2011,1.1825,7,5.8175
58,Justin Braun_CHV_2010,1.15822,9,7.84178
59,Maicon Santos_DC_2012,1.10392,7,5.89608
60,Darren Mattocks_VAN_2012,1.05982,7,5.94018
61,Mike Magee_CHI_2013,1.012,17,15.988
62,Kelyn Rowe_NE_2013,1.0118,7,5.9882
63,Dillon Powers_COL_2013,0.99656,5,4.00344
64,Kei Kamara_SKC_2013,0.981,6,5.019
65,Dane Richards_NYRB_2011,0.97786,7,6.02214
66,Gilberto_TFC_2014,0.97739,7,6.02261
67,Jonny Steele_NYRB_2013,0.94984,5,4.05016
68,Fabian Espindola_RSL_2010,0.94289,6,5.05711
69,Kenny Miller_VAN_2013,0.92562,7,6.07438
70,Juninho_LAG_2012,0.92425,7,6.07575
71,Alvaro Saborio_RSL_2012,0.91597,14,13.08403
72,Federico Higuain_CLB_2012,0.91197,4,3.08803
73,Darlington Nagbe_POR_2012,0.90078,6,5.09922
74,Kekuta Manneh_VAN_2013,0.90037,6,5.09963
75,Javier Morales_RSL_2010,0.89816,7,6.10184
76,Luis Gil_RSL_2013,0.8902,5,4.1098
77,Gaston Fernandez_POR_2014,0.88989,7,6.11011
78,Graham Zusi_SKC_2013,0.88619,6,5.11381
79,Graham Zusi_SKC_2011,0.84752,5,4.15248
80,Justin Meram_CLB_2014,0.83554,7,6.16446
81,Lamar Neagle_SEA_2011,0.82362,5,4.17638
82,Robbie Keane_LAG_2013,0.81131,11,10.18869
83,Robbie Findley_RSL_2013,0.79466,6,5.20534
84,Joel Lindpere_NYRB_2011,0.78842,7,6.21158
85,Carlos Ruiz_PHI_2011,0.78683,6,5.21317
86,Joel Lindpere_NYRB_2012,0.77729,5,4.22271
87,Luke Rodgers_NYRB_2011,0.77234,8,7.22766
88,Jesus Padilla_CHV_2010,0.76393,6,5.23607
89,Andy Najar_DC_2010,0.71124,5,4.28876
90,Marco Di Vaio_MTL_2012,0.70561,5,4.29439
91,Juan Agudelo_NYRB_2011,0.68685,6,5.31315
92,Alejandro Moreno_CHV_2011,0.67657,5,4.32343
93,Nick LaBrocca_CHV_2011,0.67173,8,7.32827
94,Eric Hassli_TFC_2012,0.67092,5,4.32908
95,Chad Barrett_SEA_2014,0.67037,7,6.32963
96,Chad Barrett_TFC_2010,0.66681,7,6.33319
97,Danny Mwanga_PHI_2010,0.64707,7,6.35293
98,Dane Richards_NYRB_2010,0.63403,5,4.36597
