Year,Survey_Date,Club,Club_Code,Last_Name,First_Name,Position,Base_Salary,Guaranteed_Compensation
2014,4/1/2014,Borja,NA,Carlos,,D,52313,52313
2014,4/1/2014,CHI,CHI,Alex,,M,123750,133700
2014,4/1/2014,CHI,CHI,Amarikwa,Quincy,F,60000,60000
2014,4/1/2014,CHI,CHI,Anangono Juan,Luis,F,175000,175000
2014,4/1/2014,CHI,CHI,Barouch,Orr,F,48825,48825
2014,4/1/2014,CHI,CHI,Cochrane,Greg,D,48500,48500
2014,4/1/2014,CHI,CHI,Duka,Dilaver,M,165000,190000
2014,4/1/2014,CHI,CHI,Franco,Marco,D,36500,36500
2014,4/1/2014,CHI,CHI,Gentile,Giuseppe,F,48500,48500
2014,4/1/2014,CHI,CHI,Hurtado Jhon,Kennedy,D,210000,210000
2014,4/1/2014,CHI,CHI,Ianni,Patrick,D,150000,150000
2014,4/1/2014,CHI,CHI,Johnson,Sean,GK,250000,253000
2014,4/1/2014,CHI,CHI,Joya,Benji,M,48504,53504
2014,4/1/2014,CHI,CHI,Jumper,Hunter,D,48500,48500
2014,4/1/2014,CHI,CHI,Kann,Alec,GK,48500,48500
2014,4/1/2014,CHI,CHI,Kinney,Steven,D,48825,48825
2014,4/1/2014,CHI,CHI,Larentowicz,Jeff,D,245000,251000
2014,4/1/2014,CHI,CHI,Magee,Mike,F,350000,417500
2014,4/1/2014,CHI,CHI,Nyarko,Patrick,F,265000,284500
2014,4/1/2014,CHI,CHI,Palmer,Lovel,M,82500,87000
2014,4/1/2014,CHI,CHI,Pause,Logan,M,75000,75000
2014,4/1/2014,CHI,CHI,Pineda,Victor,M,60000,66742
2014,4/1/2014,CHI,CHI,Reynish,Kyle,GK,74000,78317
2014,4/1/2014,CHI,CHI,Ritter,Chris,M,48500,48500
2014,4/1/2014,CHI,CHI,Segares,Gonzalo,D,160000,173333
2014,4/1/2014,CHI,CHI,Shipp,Harrison,F,70000,95000
2014,4/1/2014,CHI,CHI,Soumare,Bakary,D,330000,370000
2014,4/1/2014,CHI,CHI,Ward,Grant,F,48500,48500
2014,4/1/2014,CHI,CHI,Watson,Matt,M,71663,82665
2014,4/1/2014,CHV,CHV,Alvarez,Carlos,M,73150,108150
2014,4/1/2014,CHV,CHV,Avila,Eric,M,115000,135000
2014,4/1/2014,CHV,CHV,Barrera,Leandro,F,50000,50000
2014,4/1/2014,CHV,CHV,Bautista,Adolfo,F,150000,150000
2014,4/1/2014,CHV,CHV,Bocanegra,Carlos,D,300000,333333
2014,4/1/2014,CHV,CHV,Burling,Bobby,D,115000,122500
2014,4/1/2014,CHV,CHV,Calvert,Caleb,F,55000,62500
2014,4/1/2014,CHV,CHV,Correa Jose,Erick,F,70000,70000
2014,4/1/2014,CHV,CHV,Delgado,Marco,M,75000,77500
2014,4/1/2014,CHV,CHV,Farfan,Gabriel,M,115000,115000
2014,4/1/2014,CHV,CHV,Fondy,Matthew,F,48825,48825
2014,4/1/2014,CHV,CHV,Fragoso,Daniel,M,125000,125000
